domain,n
www.cbsa-asfc.gc.ca,3
data.mumok.at,1
datosabiertos.malaga.eu,9
data.ottawa.ca,5
data.qld.gov.au,2
www.ssa.gov,3
data.osi.opendata.arcgis.com,1
data.stadt-zuerich.ch,2
data.wake.opendata.arcgis.com,1
redtide.afcd.gov.hk,3
datos.santander.es,3
www.landesdatenbank.nrw.de,493
data.wu.ac.at,4
data.cyc.opendata.arcgis.com,8
datos.lorca.es,1
data.odp.jig.jp,1
api.convenios.gov.br,4
www.parliament.nsw.gov.au,3
www.archi-wiki.org,3
data-1.hobartcc.opendata.arcgis.com,3
translink.com.au,6
prefix.cc,1
www.lzg.nrw.de,4
data.gov.au,23
lod.arona.es,7
clt.charlotte.opendata.arcgis.com,1
data.surrey.ca,1
datos.alcobendas.org,2
www.ipd.gov.hk,1
open.canada.ca,3
data.gov.ie,1
apigobiernoabiertortod.valencia.es,1
www.london.gov.uk,2
ourairports.com,83
data.gov.uk,1
statdemtl.qc.ca,2
ciselniky.portalvs.sk,2
data.yorkopendata.org,1
www.amsterdamopendata.nl,2
ds-ec2.scraperwiki.com,5
www.ttb.gov,2
data.statistik.gv.at,5
datos.gijon.es,1
data.phl.opendata.arcgis.com,2
inventaris.onroerenderfgoed.be,1
apirtod.laspalmasgc.es,3
dominios.governoeletronico.gov.br,1
api.aytolalaguna.es,1
www.santacruzdetenerife.es,1
daten-hamburg.de,3
data.wien.gv.at,4
