folder;sizeDaff;numberOfVersions;originalRows;originalColumns;addedRows;deletedRows;modifiedRows;addedColumns;deletedColumns;changedCells;schema;averageSize;averageDaff;averageDifference;averageRatio;averageComparison;averagePatching;averageValidation
5171;327327;18;214;10;0.0;0.0;0.9444444444444444;0.0;0.0;0.10560747663551402;same;28567.555555555555;18184.833333333332;10382.722222222223;0.6365554552950511;19.72222222222222;29.22222222222222;7.777777777777778
5540;2920815;17;732;44;0.0;0.0;0.9411764705882352;0.0;0.0;0.025839396861576224;same;371167.17647058825;171812.64705882352;199354.5294117647;0.4628982785939806;1035.0588235294117;5472.176470588235;149.35294117647058
5680;90369;15;69;32;0.0;0.0;0.3333333333333333;0.0;0.0;0.012107487922705313;same;25389.4;6024.6;19364.8;0.237288002079608;8.333333333333334;24.666666666666668;5.866666666666666
5847;443814;14;310;11;0.0;0.0;0.9285714285714286;0.0;0.0;0.09093003770423123;same;43627.71428571428;31701.0;11926.714285714286;0.7266252775103638;44.5;66.71428571428571;11.214285714285714
5933;5616;16;4;4;0.0;0.0;0.875;0.0;0.0;0.578125;same;240.8125;351.0;-110.1875;1.4575655333506359;0.75;0.5625;0.4375
6273;708261;12;9;4;0.0;0.0;0.9166666666666666;0.0;0.0;0.25;same;58814.25;59021.75;-207.5;1.0035280565509208;246.0;164.91666666666666;189.25
6528;6188;11;14;3;0.0;0.0;0.9025974025974026;0.0;0.0;0.46103896103896097;same;395.8181818181818;562.5454545454545;-166.72727272727272;1.4212218649517685;1.8181818181818181;1.1818181818181819;0.6363636363636364
6618;81136;11;280;14;0.0;0.0;0.09025974025974026;0.0;0.0;0.012894248608534322;same;51216.454545454544;7376.0;43840.454545454544;0.14401621637932413;16.09090909090909;83.0909090909091;11.454545454545455
6798;4082;11;4;4;0.0;0.0;0.9090909090909092;0.0;0.0;0.6022727272727273;same;241.63636363636363;371.09090909090907;-129.45454545454547;1.5357411587659895;0.6363636363636364;0.6363636363636364;0.6363636363636364
7001;4336;10;3;36;0.0;0.0;0.9;0.0;0.0;0.030555555555555555;same;1425.0;433.6;991.4;0.304280701754386;2.0;1.3;1.5
